feature_set,n_features,AUC_ROC,AUC_CI,PR_AUC,recall,macro_F1
Baseline (monthly sums),25,0.736,0.005,0.246,0.532,0.561
Baseline + trajectory,35,0.732,0.007,0.24,0.505,0.556
